category,units_sold,total_sales,order_count,return_count,review_count,avg_rating,return_rate_by_order
Acne Treatments,16381,637115.32,16093,652,3419,4.05,0.0405
Anti-Aging Products,27359,2528013.77,25958,989,6111,4.05,0.0381
Cleansers,48142,1076955.60,40996,770,8569,4.22,0.0188
Eye Creams,20030,1025723.15,19214,635,4048,4.45,0.0330
Face Masks,15059,526759.56,14913,356,3247,4.26,0.0239
Moisturizers,61481,1905379.46,60200,1621,14014,4.31,0.0269
Serums,54833,3450656.66,53979,1691,11631,4.31,0.0313
Sunscreens,44528,1705253.70,37697,1342,8617,4.25,0.0356
Toners,32041,571997.69,26188,545,5799,4.26,0.0208
